question_id,question_category,mode,judgment_approval,run_label,reachable,evidence_retrieved_content_verified,answer_class,rq2_fact_coverage_in_context,rq2_fact_coverage_in_answer,oracle_mandatory_coverage_in_answer,supported_by_original_conversation,faithful_to_received_context,counts_as_complete_and_supported,obsolete_used,unsupported_claim,wrong_abstention,error_origin,reading_scope,retrieval_performed,context_items,context_tokens
SC05-Q4,cross_session_link,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,parziale,1/2,1/2,1/2,True,True,False,False,False,False,retrieval,current,True,5,175
SC05-Q4,cross_session_link,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,parziale,1/2,1/2,1/2,True,True,False,False,False,False,retrieval,current,True,5,173
SC05-Q4,cross_session_link,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,True,errata,2/2,2/2,2/2,False,True,False,True,False,False,retrieval,,True,4,200
SC05-Q4,cross_session_link,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,False,16,645
SC05-Q5,completed_activity,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,errata,0/2,0/2,0/2,False,False,False,False,True,False,retrieval,current,True,5,158
SC05-Q5,completed_activity,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,errata,0/2,0/2,0/2,False,False,False,False,True,False,retrieval,current,True,5,168
SC05-Q5,completed_activity,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,False,errata,0/2,0/2,0/2,True,True,False,False,False,False,retrieval,,True,3,157
SC05-Q5,completed_activity,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,False,16,645
SC05-Q6,local_information,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,True,completa,1/1,1/1,1/1,True,True,True,False,False,False,nessuno,current,True,5,167
SC05-Q6,local_information,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,True,completa,1/1,1/1,1/1,True,True,True,False,False,False,nessuno,current,True,6,197
SC05-Q6,local_information,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,True,completa,1/1,1/1,1/1,True,True,True,False,False,False,nessuno,,True,4,159
SC05-Q6,local_information,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,1/1,1/1,1/1,True,True,True,False,False,False,nessuno,,False,16,645
SC05-Q7,absent_information,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,False,,astensione corretta,,,,True,True,False,False,False,False,nessuno,current,True,7,199
SC05-Q7,absent_information,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,False,,astensione corretta,,,,True,True,False,False,False,False,nessuno,current,True,6,187
SC05-Q7,absent_information,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,False,,astensione corretta,,,,True,True,False,False,False,False,nessuno,,True,4,178
SC05-Q7,absent_information,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,False,,astensione corretta,,,,True,True,False,False,False,False,nessuno,,False,16,645
