split,model_tag,condition,family,metric,numerator,denominator,rate,denominator_rule
evaluation,llama3.2:3b,sufficient,data,label_precision,745,761,0.9789750328515112,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,data,label_recall,745,765,0.9738562091503268,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,variety,exact_match,483,505,0.9564356435643564,celle attese
evaluation,llama3.2:3b,sufficient,variety,format_error,0,505,0.0,celle attese
evaluation,llama3.2:3b,sufficient,variety,unsupported_value,20,505,0.039603960396039604,celle con output conforme
evaluation,llama3.2:3b,sufficient,variety,cross_case_intrusion,5,249,0.020080321285140562,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,sufficient,variety,label_precision,661,687,0.9621542940320232,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,variety,label_recall,661,684,0.966374269005848,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,vector,exact_match,483,517,0.9342359767891683,celle attese
evaluation,llama3.2:3b,sufficient,vector,format_error,1,517,0.0019342359767891683,celle attese
evaluation,llama3.2:3b,sufficient,vector,unsupported_value,32,516,0.06201550387596899,celle con output conforme
evaluation,llama3.2:3b,sufficient,vector,cross_case_intrusion,11,171,0.06432748538011696,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,sufficient,vector,label_precision,536,580,0.9241379310344827,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,vector,label_recall,536,551,0.9727767695099818,"etichette, celle con output conforme"
evaluation,llama3.2:3b,insufficient,tutte,correct_abstention,1527,2016,0.7574404761904762,celle attese
evaluation,llama3.2:3b,insufficient,tutte,format_error,9,2016,0.004464285714285714,celle attese
evaluation,llama3.2:3b,insufficient,tutte,unsupported_value,480,2007,0.23916292974588937,celle con output conforme
evaluation,llama3.2:3b,insufficient,tutte,cross_case_intrusion,313,1301,0.24058416602613375,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,insufficient,asset,correct_abstention,304,487,0.6242299794661191,celle attese
evaluation,llama3.2:3b,insufficient,asset,format_error,9,487,0.018480492813141684,celle attese
evaluation,llama3.2:3b,insufficient,asset,unsupported_value,174,478,0.36401673640167365,celle con output conforme
evaluation,llama3.2:3b,insufficient,asset,cross_case_intrusion,63,440,0.1431818181818182,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,insufficient,data,correct_abstention,359,507,0.7080867850098619,celle attese
evaluation,llama3.2:3b,insufficient,data,format_error,0,507,0.0,celle attese
evaluation,llama3.2:3b,insufficient,data,unsupported_value,148,507,0.29191321499013806,celle con output conforme
evaluation,llama3.2:3b,insufficient,data,cross_case_intrusion,129,441,0.2925170068027211,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,insufficient,variety,correct_abstention,403,505,0.7980198019801981,celle attese
evaluation,llama3.2:3b,insufficient,variety,format_error,0,505,0.0,celle attese
evaluation,llama3.2:3b,insufficient,variety,unsupported_value,102,505,0.201980198019802,celle con output conforme
evaluation,llama3.2:3b,insufficient,variety,cross_case_intrusion,85,249,0.3413654618473896,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,insufficient,vector,correct_abstention,461,517,0.8916827852998066,celle attese
evaluation,llama3.2:3b,insufficient,vector,format_error,0,517,0.0,celle attese
evaluation,llama3.2:3b,insufficient,vector,unsupported_value,56,517,0.10831721470019343,celle con output conforme
evaluation,llama3.2:3b,insufficient,vector,cross_case_intrusion,36,171,0.21052631578947367,celle con output conforme e confusione rilevabile
